HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b9q2,b9q3,b9q4,NSC,MLT
533314021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,02,1,10,13,7,4000,2,249167
533314031,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,03,1,10,01,1,3000,2,249167
533314031,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,03,1,10,05,5,2000,2,249167
533314031,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,4,03,1,10,13,6,5000,2,249167
533315011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,5,01,1,10,05,10,2000,2,28750
533315011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,5,01,1,10,13,10,2000,2,28750
533316011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,6,01,1,10,05,8,900,2,1969375
533316011,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,6,01,1,10,13,8,900,2,1969375
533316021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,6,02,1,10,05,8,1300,2,1969375
533316021,771,53331,77,182,1,1,011,01,0107,07,07,31,1,0110,6,02,1,10,13,8,1300,2,1969375
533301011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,01,1,10,05,2,350,1,9700
533301011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,01,1,10,13,2,350,1,9700
533301021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,1,10,05,6,1150,1,9700
533301021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,02,1,10,13,6,1150,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,10,05,6,900,1,9700
533301031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,1,03,1,10,13,6,900,1,9700
533303011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,01,1,10,05,4,500,1,9700
533303011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,01,1,10,13,4,500,1,9700
533303021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,1,10,05,10,1350,1,9700
533303021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,3,02,1,10,13,10,1350,1,9700
533306011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,01,1,10,05,7,850,1,11086
533306011,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,01,1,10,13,7,850,1,11086
533306021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,02,1,10,05,3,750,1,11086
533306021,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,02,1,10,13,3,750,1,11086
533306031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,03,1,10,05,5,550,1,11086
533306031,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,03,1,10,13,5,550,1,11086
533306041,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,04,1,10,05,5,720,1,11086
533306041,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,04,1,10,13,5,720,1,11086
533306051,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,05,1,10,05,8,600,1,11086
533306051,771,53330,77,182,1,1,011,01,0107,07,07,11,1,0110,6,05,1,10,13,8,600,1,11086
533361011,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,01,1,10,05,10,6500,2,32200
533361011,771,53336,77,182,1,1,012,01,0116,16,16,31,1,0111,1,01,1,10,13,10,6500,2,32200
