HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b11bq1,b11bq3,b11bq4,b11bq5,b11bq6,NSC,MLT
532691011,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,01,1,13,5,8000,0,0,8000,2,11125
532691021,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,02,1,13,4,1500,0,0,1500,2,11125
532691021,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,02,1,13,5,1500,0,0,1500,2,11125
532691031,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,03,1,13,4,3000,0,0,3000,2,11125
532691031,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,03,1,13,5,3000,0,0,3000,2,11125
532691041,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,04,1,13,4,1500,0,0,1500,2,11125
532691041,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,1,04,1,13,5,1500,0,0,1500,2,11125
532694011,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,4,01,1,13,4,3000,0,0,3000,2,59333
532694011,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,4,01,1,13,5,3000,0,0,3000,2,59333
532694021,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,4,02,1,13,4,1000,0,0,1000,2,59333
532694021,771,53269,77,182,1,1,031,03,0304,04,04,11,2,0312,4,02,1,13,5,1000,0,0,1000,2,59333
532621011,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,1,01,1,13,4,1000,0,0,1000,2,92250
532621011,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,1,01,1,13,5,1000,0,0,1000,2,92250
532621021,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,1,02,1,13,4,1500,,,1500,2,92250
532621021,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,1,02,1,13,5,1500,,,1500,2,92250
532621041,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,1,04,1,13,4,1500,0,0,1500,2,92250
532621041,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,1,04,1,13,5,1500,0,0,1500,2,92250
532623011,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,3,01,1,13,4,2000,,,2000,2,147600
532623011,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,3,01,1,13,5,2000,,,2000,2,147600
532624011,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,4,01,1,13,4,1000,0,0,1000,2,332100
532624011,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,4,01,1,13,5,1000,0,0,1000,2,332100
532624021,771,53262,77,182,1,1,031,03,0304,04,04,32,2,0312,4,02,1,13,4,1000,0,0,1000,2,332100
