HHID,SchID,FSU_Slno,Round,Schedule,Sample,Sector,NSS_Region,State,State_District,District,Stratum,SubStratumNo,SubRound,FODSubRegion,SSS,hh_no,visitNo,Level,b10q2,b10q3,NSC,MLT
533124021,771,53312,77,182,1,1,012,01,0117,17,17,31,2,0111,4,02,1,11,20,48000,2,34200
533161021,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,1,02,1,11,09,1500,1,23800
533161021,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,1,02,1,11,15,1500,1,23800
533161021,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,1,02,1,11,19,5000,1,23800
533161021,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,1,02,1,11,20,6500,1,23800
533162011,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,2,01,1,11,19,100000,1,11900
533162011,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,2,01,1,11,20,100000,1,11900
533163021,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,3,02,1,11,19,15000,1,73100
533163021,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,3,02,1,11,20,15000,1,73100
533166011,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,6,01,1,11,09,3000,1,23800
533166011,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,6,01,1,11,15,3000,1,23800
533166011,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,6,01,1,11,19,4500,1,23800
533166011,771,53316,77,182,1,1,012,01,0119,19,19,21,2,0111,6,01,1,11,20,7500,1,23800
533141021,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,1,02,1,11,18,250000,2,55250
533141021,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,1,02,1,11,19,12000,2,55250
533141021,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,1,02,1,11,20,262000,2,55250
533141031,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,1,03,1,11,18,55000,2,55250
533141031,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,1,03,1,11,19,10000,2,55250
533141031,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,1,03,1,11,20,65000,2,55250
533144011,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,4,01,1,11,18,300000,2,154700
533144011,771,53314,77,182,1,1,012,01,0119,19,19,31,2,0111,4,01,1,11,19,15000,2,154700
